Name,Description,Weight (kg),Regular price,Sale price,Categories,Size,Color,Brand
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,0.91,17.91,12.537,Sweatshirts/Fleece,XS,Athletic Heather,Port & Company
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,0.95,17.91,12.537,Sweatshirts/Fleece,S,Athletic Heather,Port & Company
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.03,17.91,12.537,Sweatshirts/Fleece,M,Athletic Heather,Port & Company
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.14,17.91,12.537,Sweatshirts/Fleece,L,Athletic Heather,Port & Company
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.18,17.91,12.537,Sweatshirts/Fleece,XL,Athletic Heather,Port & Company
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.28,22.47,15.729,Sweatshirts/Fleece,2XL,Athletic Heather,Port & Company
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.4,23.64,16.548,Sweatshirts/Fleece,3XL,Athletic Heather,Port & Company
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.56,23.64,16.548,Sweatshirts/Fleece,4XL,Athletic Heather,Port & Company
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,0.91,17.91,12.537,Sweatshirts/Fleece,XS,Navy,Port & Company
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,0.95,17.91,12.537,Sweatshirts/Fleece,S,Navy,Port & Company
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.03,17.91,12.537,Sweatshirts/Fleece,M,Navy,Port & Company
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.14,17.91,12.537,Sweatshirts/Fleece,L,Navy,Port & Company
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.18,17.91,12.537,Sweatshirts/Fleece,XL,Navy,Port & Company
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.28,22.47,15.729,Sweatshirts/Fleece,2XL,Navy,Port & Company
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.4,23.64,16.548,Sweatshirts/Fleece,3XL,Navy,Port & Company
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.56,23.64,16.548,Sweatshirts/Fleece,4XL,Navy,Port & Company
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,0.91,17.91,12.537,Sweatshirts/Fleece,XS,Jet Black,Port & Company
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,0.95,17.91,12.537,Sweatshirts/Fleece,S,Jet Black,Port & Company
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.03,17.91,12.537,Sweatshirts/Fleece,M,Jet Black,Port & Company
District® Very Important Tee®. DT6000,Crafted from ring spun cotton for ultimate comfort.4.3-ounce 100% combed ring spun cotton 34 singles50/50 combed ring spun cotton/poly (Heathers)90/10 combed ring spun cotton/poly (Light Heather Grey) Slightly slimmer body and shorter sleeves 1x1 rib knit neckTear-away labelShoulder to shoulder tapingDue to the nature of 50/50 cotton/polyester fabrics special care must be taken throughout the printing process. ,1.14,17.91,12.537,Sweatshirts/Fleece,L,Jet Black,Port & Company
